Date      	Time    	1-in
2001/03/14, 00:00 0.02184
2001/03/15, 00:00 0.03422
2001/03/16, 00:00 0.01708
2001/03/17, 00:00 0.01641
2001/03/18, 00:00 0.02374
2001/03/19, 00:00 0.07075
2001/03/20, 00:00 0.10186
2001/03/21, 00:00 0.02273
2001/03/22, 00:00 0.06879
2001/03/23, 00:00 0.06238
2001/03/24, 00:00 0.07896
2001/03/25, 00:00 0.03879
2001/03/26, 00:00 0.04469
2001/03/27, 00:00 0.02441
2001/03/28, 00:00 0.05102
2001/03/29, 00:00 0.03691
2001/03/30, 00:00 0.03058
2001/03/31, 00:00 0.0446
2001/04/01, 00:00 0.05059
2001/04/02, 00:00 0.02994
2001/04/03, 00:00 0.13019
2001/04/04, 00:00 0.02747
2001/04/05, 00:00 0.04468
2001/04/06, 00:00 0.02084
2001/04/07, 00:00 0.12836
2001/04/08, 00:00 0.03878
2001/04/09, 00:00 0.01647
2001/04/10, 00:00 0.02152
2001/04/11, 00:00 0.04397
2001/04/12, 00:00 0.06634
2001/04/13, 00:00 0.02841
2001/04/14, 00:00 0.09045
2001/04/15, 00:00 0.06078
2001/04/16, 00:00 0.05048
2001/04/17, 00:00 0.01965
2001/04/18, 00:00 0.0388
2001/04/19, 00:00 0.11453
2001/04/20, 00:00 0.03351
2001/04/21, 00:00 0.09668
2001/04/22, 00:00 0.02542
2001/04/23, 00:00 0.10397
2001/04/24, 00:00 0.02287
2001/04/25, 00:00 0.17175
2001/04/26, 00:00 0.08945
2001/04/27, 00:00 0.01897
2001/04/28, 00:00 0.08679
2001/04/29, 00:00 0.10693
2001/04/30, 00:00 0.11719
2001/05/01, 00:00 0.16663
2001/05/02, 00:00 0.2666
2001/05/03, 00:00 0.21936
2001/05/04, 00:00 0.08473
2001/05/05, 00:00 0.02576
2001/05/06, 00:00 0.06275
2001/05/07, 00:00 0.07474
2001/05/08, 00:00 0.0198
2001/05/09, 00:00 0.07251
2001/05/10, 00:00 0.18549
2001/05/11, 00:00 0.18732
2001/05/12, 00:00 0.2677
2001/05/13, 00:00 0.06958
2001/05/14, 00:00 0.36328
2001/05/15, 00:00 0.31348
2001/05/16, 00:00 0.11298
2001/05/17, 00:00 0.10895
2001/05/18, 00:00 0.21973
2001/05/19, 00:00 0.12854
2001/05/20, 00:00 0.26697
2001/05/21, 00:00 0.13129
2001/05/22, 00:00 0.16992
2001/05/23, 00:00 0.18896
2001/05/24, 00:00 0.11774
2001/05/25, 00:00 0.16663
2001/05/26, 00:00 0.05273
2001/05/27, 00:00 0.22156
2001/05/28, 00:00 0.04557
2001/05/29, 00:00 0.27246
2001/05/30, 00:00 0.0509
2001/05/31, 00:00 0.11975
2001/06/01, 00:00 0.18311
2001/06/02, 00:00 0.18201
2001/06/03, 00:00 0.26147
2001/06/04, 00:00 0.15088
2001/06/05, 00:00 0.14545
2001/06/06, 00:00 0.18164
2001/06/07, 00:00 0.245
2001/06/08, 00:00 0.15564
2001/06/09, 00:00 0.11261
2001/06/10, 00:00 0.19904
2001/06/11, 00:00 0.29626
2001/06/12, 00:00 0.1908
2001/06/13, 00:00 0.16003
2001/06/14, 00:00 0.09796
2001/06/15, 00:00 0.13989
2001/06/16, 00:00 0.01202
2001/06/17, 00:00 0.01827
2001/06/18, 00:00 0.22961
2001/06/19, 00:00 0.06885
2001/06/20, 00:00 0.17908
2001/06/21, 00:00 0.23511
2001/06/22, 00:00 0.09485
2001/06/23, 00:00 0.04907
2001/06/24, 00:00 0.28418
2001/06/25, 00:00 0.15656
2001/06/26, 00:00 0.1095
2001/06/27, 00:00 0.07031
2001/06/28, 00:00 0.12268
2001/06/29, 00:00 0.20563
2001/06/30, 00:00 0.00977
2001/07/01, 00:00 0.29958
2001/07/02, 00:00 0.02695
2001/07/03, 00:00 0.33398
2001/07/04, 00:00 0.11682
2001/07/05, 00:00 0.09155
2001/07/06, 00:00 0.32593
2001/07/07, 00:00 0.09998
2001/07/08, 00:00 0.1582
2001/07/09, 00:00 0.00975
2001/07/10, 00:00 0.19755
2001/07/11, 00:00 0.42188
2001/07/12, 00:00 0.21405
2001/07/13, 00:00 0.14319
2001/07/14, 00:00 0.26624
2001/07/15, 00:00 0.26111
2001/07/16, 00:00 0.15894
2001/07/17, 00:00 0.38818
2001/07/18, 00:00 0.375
2001/07/19, 00:00 0.1485
2001/07/20, 00:00 0.09485
2001/07/21, 00:00 0.09595
2001/07/22, 00:00 0.07251
2001/07/23, 00:00 0.26697
2001/07/24, 00:00 0.03809
2001/07/25, 00:00 0.10895
2001/07/26, 00:00 0.21826
2001/07/27, 00:00 0.07983
2001/07/28, 00:00 0.10217
2001/07/29, 00:00 0.13312
2001/07/30, 00:00 0.04102
2001/07/31, 00:00 0.35669
2001/08/01, 00:00 0.14539
2001/08/02, 00:00 0.10437
2001/08/03, 00:00 0.12909
2001/08/04, 00:00 0.34424
2001/08/05, 00:00 0.06812
2001/08/06, 00:00 0.19666
2001/08/07, 00:00 0.10474
2001/08/08, 00:00 0.21497
2001/08/09, 00:00 0.25671
2001/08/10, 00:00 0.17578
2001/08/11, 00:00 0.11151
2001/08/12, 00:00 0.05164
2001/08/13, 00:00 0.01181
2001/08/14, 00:00 0.05964
2001/08/15, 00:00 0.034
2001/08/16, 00:00 0.09302
2001/08/17, 00:00 0.15399
